x	   y	  bx	 by	    bz	   rho	  ppar   pper
2.215  3.440  0.917  0.175  0.107  0.999  1.007  2.006
2.246  3.440  0.972  0.165  0.112  0.998  0.997  1.996
2.278  3.440  1.024  0.146  0.115  0.998  0.991  1.992
2.309  3.440  1.073  0.118  0.117  1.002  0.990  1.996
2.340  3.440  1.115  0.078  0.118  1.012  0.994  2.009
2.372  3.440  1.149  0.028  0.118  1.023  0.999  2.025
2.403  3.440  1.170  -0.021  0.116  1.030  1.006  2.039
2.435  3.440  1.182  -0.068  0.115  1.035  1.011  2.047
2.466  3.440  1.185  -0.105  0.114  1.036  1.015  2.052
2.498  3.440  1.178  -0.127  0.111  1.043  1.023  2.065
2.529  3.440  1.162  -0.138  0.109  1.053  1.037  2.087
2.560  3.440  1.135  -0.139  0.105  1.065  1.054  2.114
2.592  3.440  1.095  -0.136  0.100  1.086  1.084  2.161
2.623  3.440  1.039  -0.123  0.094  1.118  1.128  2.231
2.655  3.440  0.961  -0.096  0.084  1.164  1.193  2.333
2.686  3.440  0.856  -0.045  0.071  1.235  1.295  2.490
2.717  3.440  0.732  0.021  0.056  1.327  1.435  2.700
2.749  3.440  0.617  0.089  0.043  1.421  1.586  2.919
2.780  3.440  0.537  0.145  0.035  1.480  1.694  3.066
2.812  3.440  0.496  0.187  0.032  1.513  1.746  3.141
2.843  3.440  0.477  0.221  0.031  1.516  1.751  3.149
2.875  3.440  0.468  0.244  0.031  1.503  1.732  3.120
2.906  3.440  0.465  0.253  0.032  1.477  1.702  3.070
2.937  3.440  0.470  0.243  0.034  1.443  1.657  3.002
2.969  3.440  0.494  0.212  0.038  1.397  1.587  2.898
3.000  3.440  0.551  0.176  0.047  1.333  1.489  2.751
3.032  3.440  0.635  0.125  0.062  1.239  1.351  2.541
3.063  3.440  0.742  0.075  0.085  1.119  1.179  2.276
3.094  3.440  0.854  0.032  0.110  1.003  1.023  2.024
3.126  3.440  0.955  0.003  0.132  0.922  0.921  1.852
3.157  3.440  1.037  -0.020  0.146  0.867  0.850  1.733
3.189  3.440  1.100  -0.038  0.155  0.825  0.797  1.645
3.220  3.440  1.148  -0.053  0.161  0.797  0.761  1.583
3.252  3.440  1.184  -0.069  0.164  0.782  0.741  1.550
3.283  3.440  1.208  -0.088  0.164  0.776  0.732  1.537
3.314  3.440  1.220  -0.105  0.162  0.776  0.730  1.535
3.346  3.440  1.223  -0.119  0.160  0.780  0.734  1.542
3.377  3.440  1.221  -0.131  0.156  0.789  0.743  1.560
3.409  3.440  1.214  -0.140  0.152  0.802  0.757  1.585
3.440  3.440  1.203  -0.146  0.147  0.819  0.774  1.618
3.471  3.440  1.190  -0.148  0.142  0.838  0.795  1.655
